idx,input,output,
1,전기간 전지점 일단위 최고온도 [number]개,"SELECT * FROM (
                    SELECT TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
                     ,S. STN_KO , S.STN_ID
                     , TA_MAX AS   기온
                    , ROW_NUMBER() OVER (PARTITION BY T.STN_ID ORDER BY TA_MAX desc) TNRW
                    FROM  SFC_DAY_TA T
                    ,  ( SELECT * FROM (
                                                                SELECT S.* 
                                                                ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                                                FROM STN_AWS S    
                                                            ) WHERE RNK = 1 ) S
                    WHERE   1=1
                    AND  T.STN_ID = S.STN_ID
                    AND   TA_MAX IS NOT NULL   ) M    
            , (SELECT STN_ID , DENSE_RANK()   OVER ( ORDER BY TA_MAX desc) TMRN
         FROM (SELECT TM , STN_ID , TA_MAX, RANK()   OVER ( PARTITION BY STN_ID    ORDER BY TA_MAX desc) TRN  
                    FROM  SFC_DAY_TA  DT WHERE TA_MAX IS NOT NULL  )  SDT
          WHERE TRN = 1  ) SDT2 
WHERE  TNRW <= [number]  
AND  M.STN_ID = SDT2.STN_ID
ORDER BY TMRN
;",
2,전기간 전지점 일단위 최저온도 [number]개,"SELECT * FROM (
                    SELECT TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
                     ,S. STN_KO , S.STN_ID
                     , TA_MIN AS   기온
                    , ROW_NUMBER() OVER (PARTITION BY T.STN_ID ORDER BY TA_MIN desc) TNRW
                    FROM  SFC_DAY_TA T
                    ,  ( SELECT * FROM (
                                                                SELECT S.* 
                                                                ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                                                FROM STN_AWS S    
                                                            ) WHERE RNK = 1 ) S
                    WHERE   1=1
                    AND  T.STN_ID = S.STN_ID
                    AND   TA_MIN IS NOT NULL   ) M    
            , (SELECT STN_ID , DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TMRN
         FROM (SELECT TM , STN_ID , TA_MIN, RANK()   OVER ( PARTITION BY STN_ID    ORDER BY TA_MIN desc) TRN  
                    FROM  SFC_DAY_TA  DT WHERE TA_MIN IS NOT NULL  )  SDT
          WHERE TRN = 1  ) SDT2 
WHERE  TNRW <= [number]  
AND  M.STN_ID = SDT2.STN_ID
ORDER BY TMRN
;",
3,[date_a]부터 [date_b]까지 일단위 최고온도 [number]개,"SELECT * FROM (
                    SELECT TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
                     ,S. STN_KO , S.STN_ID
                     , TA_MAX AS   기온
                    , ROW_NUMBER() OVER (PARTITION BY T.STN_ID ORDER BY TA_MAX desc) TNRW
                    FROM  SFC_DAY_TA T
                    ,  ( SELECT * FROM (
                                                                SELECT S.* 
                                                                ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                                                FROM STN_AWS S    
                                                            ) WHERE RNK = 1 ) S
                    WHERE 1=1
                    AND  T.STN_ID = S.STN_ID
                    AND   TA_MAX IS NOT NULL
                    AND   TO_CHAR(TM,'YYYYMMDD') BETWEEN [date_a] AND [date_b]
                    ) M    
            , (SELECT STN_ID , DENSE_RANK()   OVER ( ORDER BY TA_MAX desc) TMRN
         FROM (SELECT TM , STN_ID , TA_MAX, RANK()   OVER ( PARTITION BY STN_ID    ORDER BY TA_MAX desc) TRN  
                    FROM  SFC_DAY_TA  DT 
                    WHERE TA_MAX IS NOT NULL
                    AND  TO_CHAR(TM,'YYYYMMDD') BETWEEN [date_a] and [date_b]
                    )  SDT
          WHERE TRN = 1  ) SDT2 
WHERE  TNRW <= [number]  
AND  M.STN_ID = SDT2.STN_ID
ORDER BY TMRN
;",
4,[date_a]부터 [date_b]까지 일단위 최저온도 [number]개,"SELECT * FROM (
                    SELECT TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
                     ,S. STN_KO , S.STN_ID
                     , TA_MIN AS   기온
                    , ROW_NUMBER() OVER (PARTITION BY T.STN_ID ORDER BY TA_MIN desc) TNRW
                    FROM  SFC_DAY_TA T
                    ,  ( SELECT * FROM (
                                                                SELECT S.* 
                                                                ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                                                FROM STN_AWS S    
                                                            ) WHERE RNK = 1 ) S
                    WHERE 1=1
                    AND  T.STN_ID = S.STN_ID
                    AND   TA_MIN IS NOT NULL
                    AND   TO_CHAR(TM,'YYYYMMDD') BETWEEN [date_a] AND [date_b]
                    ) M    
            , (SELECT STN_ID , DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TMRN
         FROM (SELECT TM , STN_ID , TA_MIN, RANK()   OVER ( PARTITION BY STN_ID    ORDER BY TA_MIN desc) TRN  
                    FROM  SFC_DAY_TA  DT 
                    WHERE TA_MIN IS NOT NULL
                    AND  TO_CHAR(TM,'YYYYMMDD') BETWEEN [date_a] and [date_b]
                    )  SDT
          WHERE TRN = 1  ) SDT2 
WHERE  TNRW <= [number]  
AND  M.STN_ID = SDT2.STN_ID
ORDER BY TMRN
;",
5,[place] 전기간 일단위 최고온도 [number]개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MAX AS   기온
,  ROW_NUMBER()   OVER ( ORDER BY TA_MAX desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S   
                                            WHERE   S.STN_KO =[place]
                                        ) WHERE RNK = 1 ) S
WHERE 1=1
AND  T.STN_ID = S.STN_ID
AND   TA_MAX IS NOT NULL)
WHERE TNRW <=[number]
ORDER BY TNRW
;",
6,[place] 전기간 일단위 최저온도 [number]개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MIN AS   기온
,  ROW_NUMBER()   OVER ( ORDER BY TA_MIN desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S   
                                            WHERE   S.STN_KO =[place]
                                        ) WHERE RNK = 1 ) S
WHERE 1=1
AND  T.STN_ID = S.STN_ID
AND   TA_MIN IS NOT NULL)
WHERE TNRW <=[number]
ORDER BY TNRW
;",
7,전기간 전지점 ([month])월단위 최고온도 [number]개,"select * from (
    SELECT r.* 
   , ROW_NUMBER() OVER (PARTITION BY STN_ID  ORDER BY TA_MAX  desc ) stnrw
    FROM 
    (
            SELECT TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
            ,  TO_CHAR(T.tm,'YYYYMM')  관측월
             ,S. STN_KO , S.STN_ID
             , TA_MAX 
            , DENSE_RANK() OVER (PARTITION BY T.STN_ID   ,  TO_CHAR(T.tm,'YYYYMM') ORDER BY TA_MAX  desc) TNRW
            
            FROM  SFC_DAY_TA  T
            ,  ( SELECT * FROM (
                                                        SELECT S.* 
                                                        ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                                        FROM STN_AWS S    
                                                    ) WHERE RNK = 1 ) S
            WHERE TO_CHAR(T.tm,'MM') = [month]
            AND  T.STN_ID = S.STN_ID        
            AND   TA_MAX  IS NOT NULL
            ) r
        WHERE TNRW =1       
) M             , (SELECT STN_ID , DENSE_RANK()   OVER ( ORDER BY TA_MAX desc) TMRN
         FROM (SELECT TM , STN_ID , TA_MAX, RANK()   OVER ( PARTITION BY STN_ID     ,  TO_CHAR(tm,'MM') ORDER BY TA_MAX desc) TRN  
                    FROM  SFC_DAY_TA  DT 
                    WHERE TA_MAX IS NOT NULL 
                    AND TO_CHAR(TM,'MM') = [month])  SDT
          WHERE TRN = 1  ) SDT2 
where stnrw <= [number]
AND  M.STN_ID = SDT2.STN_ID
;",
8,전기간 전지점 ([month])월단위 최저온도 [number]개,"select * from (
    SELECT r.* 
   , ROW_NUMBER() OVER (PARTITION BY STN_ID  ORDER BY TA_MIN  desc ) stnrw
    FROM 
    (
            SELECT TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
            ,  TO_CHAR(T.tm,'YYYYMM')  관측월
             ,S. STN_KO , S.STN_ID
             , TA_MIN 
            , DENSE_RANK() OVER (PARTITION BY T.STN_ID   ,  TO_CHAR(T.tm,'YYYYMM') ORDER BY TA_MIN  desc) TNRW
            
            FROM  SFC_DAY_TA  T
            ,  ( SELECT * FROM (
                                                        SELECT S.* 
                                                        ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                                        FROM STN_AWS S    
                                                    ) WHERE RNK = 1 ) S
            WHERE TO_CHAR(T.tm,'MM') = [month]
            AND  T.STN_ID = S.STN_ID        
            AND   TA_MIN  IS NOT NULL
            ) r
        WHERE TNRW =1       
) M             , (SELECT STN_ID , DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TMRN
         FROM (SELECT TM , STN_ID , TA_MIN, RANK()   OVER ( PARTITION BY STN_ID     ,  TO_CHAR(tm,'MM') ORDER BY TA_MIN desc) TRN  
                    FROM  SFC_DAY_TA  DT 
                    WHERE TA_MIN IS NOT NULL 
                    AND TO_CHAR(TM,'MM') = [month])  SDT
          WHERE TRN = 1  ) SDT2 
where stnrw <= [number]
AND  M.STN_ID = SDT2.STN_ID
;",
9,[place] 전기간 월단위([month]) 최고온도 [number]개,"select * from (
    SELECT r.* 
   , ROW_NUMBER() OVER (PARTITION BY STN_ID  ORDER BY TA_MAX  desc ) stnrw
    FROM 
    (
            SELECT TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
            ,  TO_CHAR(T.tm,'YYYYMM')  관측월
             ,S. STN_KO , S.STN_ID
             , TA_MAX 
            , DENSE_RANK() OVER (PARTITION BY T.STN_ID   ,  TO_CHAR(T.tm,'YYYYMM') ORDER BY TA_MAX  desc) TNRW
            
            FROM  SFC_DAY_TA  T
            ,  ( SELECT * FROM (
                                                        SELECT S.* 
                                                        ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                                        FROM STN_AWS S    
                                                        WHERE S.STN_KO=[place]
                                                    ) WHERE RNK = 1 ) S
            WHERE TO_CHAR(T.tm,'MM') = [month]
            AND  T.STN_ID = S.STN_ID        
            AND   TA_MAX  IS NOT NULL
            ) r
        WHERE TNRW =1       
) M             , (SELECT STN_ID , DENSE_RANK()   OVER ( ORDER BY TA_MAX desc) TMRN
         FROM (SELECT TM , STN_ID , TA_MAX, RANK()   OVER ( PARTITION BY STN_ID     ,  TO_CHAR(tm,'MM') ORDER BY TA_MAX desc) TRN  
                    FROM  SFC_DAY_TA  DT 
                    WHERE TA_MAX IS NOT NULL 
                    AND TO_CHAR(TM,'MM') = [month])  SDT
          WHERE TRN = 1  ) SDT2 
where stnrw <= [number]
AND  M.STN_ID = SDT2.STN_ID
;",
10,[place] 전기간 월단위([month]) 최저온도 [number]개,"select * from (
    SELECT r.* 
   , ROW_NUMBER() OVER (PARTITION BY STN_ID  ORDER BY TA_MIN  desc ) stnrw
    FROM 
    (
            SELECT TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
            ,  TO_CHAR(T.tm,'YYYYMM')  관측월
             ,S. STN_KO , S.STN_ID
             , TA_MIN
            , DENSE_RANK() OVER (PARTITION BY T.STN_ID   ,  TO_CHAR(T.tm,'YYYYMM') ORDER BY TA_MIN  desc) TNRW
            
            FROM  SFC_DAY_TA  T
            ,  ( SELECT * FROM (
                                                        SELECT S.* 
                                                        ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                                        FROM STN_AWS S    
                                                        WHERE S.STN_KO=[place]
                                                    ) WHERE RNK = 1 ) S
            WHERE TO_CHAR(T.tm,'MM') = [month]
            AND  T.STN_ID = S.STN_ID        
            AND   TA_MIN  IS NOT NULL
            ) r
        WHERE TNRW =1       
) M             , (SELECT STN_ID , DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TMRN
         FROM (SELECT TM , STN_ID , TA_MIN, RANK()   OVER ( PARTITION BY STN_ID     ,  TO_CHAR(tm,'MM') ORDER BY TA_MIN desc) TRN  
                    FROM  SFC_DAY_TA  DT 
                    WHERE TA_MIN IS NOT NULL 
                    AND TO_CHAR(TM,'MM') = [month])  SDT
          WHERE TRN = 1  ) SDT2 
where stnrw <= [number]
AND  M.STN_ID = SDT2.STN_ID
;",
11,당일([date_a]) 전지점 일단위 최고온도 [number]개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MAX AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MAX desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S    
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = [date_a]
AND  T.STN_ID = S.STN_ID
AND   TA_MAX IS NOT NULL
)
WHERE TNRW <= [number]

ORDER BY TNRW
;",
12,당일([date_a]) 전지점 일단위 최저온도 [number]개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MIN AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S    
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = [date_a]
AND  T.STN_ID = S.STN_ID
AND   TA_MIN IS NOT NULL
)
WHERE TNRW <= [number]

ORDER BY TNRW
;",
13,당일([date_a]) [place] 일단위 최고온도 [number]개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MAX_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MAX AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MAX desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S  
                                            WHERE S.STN_KO=[place]
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = [date_a]
AND  T.STN_ID = S.STN_ID
AND   TA_MAX IS NOT NULL
)
WHERE TNRW <= [number]

ORDER BY TNRW
;",
14,당일([date_a]) [place] 일단위 최저온도 [number]개,"SELECT * FROM (
SELECT  TO_CHAR(T.tm,'YYYYMMDD')|| ' ' ||TO_CHAR(T.TA_MIN_TM ,'0000')      AS 관측시각   
,S. STN_KO  , S.STN_ID
 , TA_MIN AS   기온
,  DENSE_RANK()   OVER ( ORDER BY TA_MIN desc) TNRW
FROM  SFC_DAY_TA T
,  ( SELECT * FROM (
                                            SELECT S.* 
                                            ,ROW_NUMBER()  OVER (PARTITION BY STN_ID  ORDER BY TM_ED DESC  ) rnk
                                            FROM STN_AWS S  
                                            WHERE S.STN_KO=[place]
                                        ) WHERE RNK = 1 ) S
WHERE TO_CHAR(T.TM,'YYYYMMDD') = [date_a]
AND  T.STN_ID = S.STN_ID
AND   TA_MIN IS NOT NULL
)
WHERE TNRW <= [number]

ORDER BY TNRW
;",